0 1
1 0,554987339575303
2 0,039988122689366
3 0,0096135970196134
4 0,00229368605779483
5 0,000523745169615698
6 6,44516706828365E-05
7 0,000127336822378323
8 0,000331956676554538
9 0,00103817104101262
10 0,00012775651582028
11 0,000252407867636744
12 0,0006580066575556
13 0,000731769847166512
14 9,00510246993065E-05
15 0,000177913329718778
16 0,000463805492748428
17 0,0048473464782384
18 0,00110685344003522
19 0,000136208518092224
20 0,000269106443494301
21 0,000701538478448691
22 0,00219401200193011
23 0,000269993399893978
24 0,000533424521682329
25 0,00139059408035381
26 0,00154648103627307
27 0,000190308746026736
28 0,000375991975585843
29 0,00098018031466049
30 0,00247256448358016
31 0,000564590651121391
32 6,94780836706995E-05
33 0,000137267479738397
34 0,000357845087712294
35 0,00111913521694296
36 0,000137719903946605
37 0,000272092480474344
38 0,000709322832522008
39 0,000788838615515813
40 9,70738626695796E-05
41 0,000191788313279918
42 0,000499976439566316
43 0,0121181060851274
44 0,00289123112999522
45 0,000660189886681075
46 8,12424507814162E-05
47 0,000160510277160088
48 0,00041843715873957
49 0,0013086326360291
50 0,000161039308036096
51 0,00031816450289133
52 0,000829428825101673
53 0,000922408607285049
54 0,000113510881323015
55 0,000224262843459305
56 0,000584634882502729
57 0,00611016446131669
58 0,00139520799339417
59 0,000171693203758393
60 0,000339213347907362
61 0,000884301441728416
62 0,00276559025068238
63 0,000340331371860544
64 0,000672390878145501
65 0,00175286800067633
66 0,00194936621724014
67 0,000239887481093139
68 0,00047394441830776
69 0,00123553431783924
70 0,00311671049381552
71 0,000711676325833275
72 8,75783316895006E-05
73 0,000173028043313477
74 0,000451069950830298
75 0,00141068938658948
76 0,00017359833188906
77 0,000342977299404855
78 0,000894113755295564
79 0,000994344781392771
80 0,000122363290610486
81 0,000241752501324126
82 0,000630228989458159
83 0,0182564195846252
84 0,00435575726557667
85 0,000994602910067616
86 0,000122395055723198
87 0,00024181525948807
88 0,000630392594856349
89 0,00197150828006058
90 0,000242612266015144
91 0,000479327761360881
92 0,00124956825268456
93 0,00138964607544847
94 0,000171008758488828
95 0,000337861093034913
96 0,00088077622392473
97 0,0092052112230448
98 0,00210193757640793
99 0,000258662793147912
100 0,00051103870230206
101 0,00133223608095795
102 0,00416647417186521
103 0,000512723050850552
104 0,00101298419984658
105 0,00264076692116808
106 0,00293679947477166
107 0,000361400244986312
108 0,000714016538527982
109 0,00186138269125737
110 0,00469545109600368
111 0,00107216932428101
112 0,00013194031795177
113 0,000260673783217199
114 0,000679555223112041
115 0,00212526092478783
116 0,000261532946146374
117 0,000516709248289337
118 0,00134701873035212
119 0,00149802084693484
120 0,000184345273052375
121 0,000364209973802972
122 0,000949465600079491
123 0,258045929145678
124 0,0620371602495349
125 0,0148013037408619
126 0,00337976128509238
127 0,000415910778696461
128 0,000821712709554395
129 0,00214213779684153
130 0,00669938453903663
131 0,00082442101834467
132 0,00162880421354023
133 0,00424615930715173
134 0,00472215791673283
135 0,000581105057608329
136 0,00114808616626787
137 0,00299296669285664
138 0,0312802387745172
139 0,00714259647997759
140 0,00087896233293319
141 0,00173656119818404
142 0,00452707294886036
143 0,014158100643854
144 0,00174228478491114
145 0,00344222276689198
146 0,00897359309205089
147 0,00997954165068563
148 0,00122807458540876
149 0,00242630041537732
150 0,00632516664989955
151 0,0159556177341558
152 0,00364333980585505
153 0,00044834654518139
154 0,000885795880585307
155 0,00230919738008835
156 0,00722185157675563
157 0,000888715403116582
158 0,00175583028698234
159 0,00457730588665671
160 0,00509042635154513
161 0,00062642388298446
162 0,00123762232811094
163 0,00322638014044974
164 0,0781989184267
165 0,0186573005467178
166 0,00426024782519989
167 0,000524262763241386
168 0,00103578314813513
169 0,00270020191382338
170 0,00844469061720388
171 0,00103919701842373
172 0,00205313601259904
173 0,00535235758618112
174 0,00595236210431401
175 0,00073249302215759
176 0,00144718256125331
177 0,00377268652090311
178 0,0394292844878326
179 0,00900336696982821
180 0,00110794729314999
181 0,00218896556408358
182 0,00570645411259464
183 0,0178465318669071
184 0,00219618024460377
185 0,00433898160831328
186 0,0113113700139901
187 0,0125793856510973
188 0,00154800935342625
189 0,00305839383198044
190 0,00797298246569058
191 0,0201123333921496
192 0,00459249313045312
193 0,000565148610486167
194 0,0011165610987024
195 0,00291078342126456
196 0,00910326939642087
197 0,00112024120758149
198 0,00221325458532558
199 0,0057697736035138
200 0,00641657086527564
201 0,000789618188985459
202 0,00156004444899999
203 0,0040669082272902
204 0,117809850469443
205 0,0281079819490418
206 0,00641823658622626
207 0,000789823171302026
208 0,00156044943147071
209 0,00406796398345353
210 0,0127222698074276
211 0,00156559256588119
212 0,00309313289114667
213 0,00806354435039973
214 0,008967475555388
215 0,00110353052377809
216 0,00218023937636745
217 0,00568370565524246
218 0,0594018204226551
219 0,0135639384505199
220 0,00166916765039883
221 0,00329776563379419
222 0,00859700516632687
223 0,0268865259640293
224 0,00330863484337367
225 0,0065368522320958
226 0,0170410388885598
227 0,0189513560081059
228 0,00233213903876934
229 0,00460759467357619
230 0,0120116222957604
231 0,0303000480977461
232 0,00691877764892327
233 0,000851419362747298
234 0,00168214469873298
235 0,00438521358744299
236 0,0137144455185869
237 0,00168768893240629
238 0,00333435803197744
239 0,00869239855420319
240 0,00966682493023592
241 0,00118959191052657
242 0,00235027039964303
243 0,00612696262006631
244 0,256953287740259
245 0,0617744768962743
246 0,0147386307222446
247 0,00336545039426473
248 0,000414149691671107
249 0,000818233339301237
250 0,00213306736329239
251 0,00667101739927044
252 0,00082093018032555
253 0,00162190738346457
254 0,00422817983548032
255 0,00470216292870946
256 0,000578644490030521
257 0,00114322483601396
258 0,00298029360266498
259 0,0311477891591733
260 0,00711235265213632
261 0,000875240551148273
262 0,00172920809374073
263 0,00450790400724732
264 0,0140981511339479
265 0,00173490744513939
266 0,0034276473960104
267 0,00893559629279807
268 0,00993728537308908
269 0,00122287456095807
270 0,0024160267547751
271 0,00629838405735591
272 0,0158880570148564
273 0,00362791284702231
274 0,00044644811570078
275 0,00088204516357504
276 0,00229941956774649
277 0,00719127215981743
278 0,000884952324000033
279 0,00174839559162095
280 0,00455792424419645
281 0,00506887200801665
282 0,000623771422338566
283 0,00123238187574479
284 0,00321271870993329
285 0,0778678014956372
286 0,0185783001177702
287 0,00424220869865149
288 0,000522042882446005
289 0,00103139734147492
290 0,00268876847473057
291 0,00840893334463285
292 0,00103479675644527
293 0,00204444243845218
294 0,0053296941497354
295 0,00592715807448586
296 0,000729391433971954
297 0,00144105476999979
298 0,00375671187051412
299 0,0392623294463016
300 0,00896524409932999
301 0,00110325592254196
302 0,00217969684816827
303 0,00568229132861977
304 0,0177709644680124
305 0,00218688097963586
306 0,0043206091000614
307 0,0112634743883152
308 0,0125261208789591
309 0,00154145463225267
310 0,00304544370428045
311 0,00793922254242602
312 0,0200271719315655
313 0,00457304718079196
314 0,000562755607139529
315 0,00111183325474004
316 0,00289845831891239
317 0,00906472351003491
318 0,00111549778096937
319 0,00220388302264034
320 0,0057453427064252
321 0,00638940124073859
322 0,000786274716253245
323 0,00155343876773652
324 0,00404968775674882
325 0,117311009348348
326 0,0279889645903803
327 0,00639105990854295
328 0,000786478830615154
329 0,00155384203539385
330 0,00405073904253394
331 0,0126684000222753
332 0,00155896339227957
333 0,00308003566818129
334 0,00802940096181443
335 0,00892950465956206
336 0,00109885785505429
337 0,00217100760966518
338 0,0056596391948426
339 0,059150295863574
340 0,0135065047958962
341 0,0016620999098092
342 0,00328380193636722
343 0,00856060294971982
344 0,0267726806047422
345 0,00329462512255672
346 0,00650917330131965
347 0,0169688821808658
348 0,0188711104629356
349 0,00232226408478193
350 0,00458808477959568
351 0,011960761598558
352 0,0301717488943935
353 0,00688948153501391
354 0,000847814205897148
355 0,00167502200955193
356 0,00436664531956484
357 0,013656374573327
358 0,00168054276732971
359 0,00332023939170945
360 0,00865559241428784
361 0,0096258927860526
362 0,00118455483289742
363 0,00234031867220799
364 0,00610101928094719
365 0,0181741418377187
366 0,00130948899507648
367 0,000314815966682816
368 7,51112192531465E-05
369 1,71510561064325E-05
370 2,11059554180852E-06
371 4,16989236698439E-06
372 1,08705681976396E-05
373 3,39969336338625E-05
374 4,18363604652189E-06
375 8,26558744726803E-06
376 2,15477101400725E-05
377 2,39632295128516E-05
378 2,94889626990318E-06
379 5,82611864912847E-06
380 1,518821459382E-05
381 0,000158735805576187
382 3,62460726188104E-05
383 4,46041332980292E-06
384 8,81241485121455E-06
385 2,2973244437793E-05
386 7,18471980770737E-05
387 8,84145996677329E-06
388 1,74680253502548E-05
389 4,55377127600456E-05
390 5,06425348803031E-05
391 6,23203070883563E-06
392 1,23125898680324E-05
393 3,2097914303435E-05
